Id,Victimas,Hora,Lugar,Calle,Longitud,Latitud,Acusado,Año,Mes,Dia,Rol,Victima,Sexo,Edad,Barrio,nombre_comuna,url_imagen
2016-0002,1,1,GRAL PAZ,"PAZ, GRAL. AV.",-58.50877521,-34.66977709,PASAJEROS,2016,1,2,CONDUCTOR,AUTO,MASCULINO,70,Mataderos,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
2016-0003,1,7,AVENIDA,ENTRE RIOS AV.,-58.39040293,-34.63189362,AUTO,2016,1,3,CONDUCTOR,MOTO,MASCULINO,30,Constitución,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2016-0004,1,0,AVENIDA,LARRAZABAL AV.,-58.46503904,-34.68092974,AUTO,2016,1,10,CONDUCTOR,MOTO,MASCULINO,18,Villa Lugano,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2016-0005,1,5,AVENIDA,SAN JUAN AV.,-58.38718297,-34.62246630,PASAJEROS,2016,1,21,CONDUCTOR,MOTO,MASCULINO,29,Constitución,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2016-0008,1,18,AVENIDA,27 DE FEBRERO AV.,-58.44451316,-34.68475866,OBJETO FIJO,2016,1,24,CONDUCTOR,MOTO,MASCULINO,30,Villa Riachuelo,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2016-0009,1,19,CALLE,NOGOYA,-58.50095869,-34.60825440,AUTO,2016,1,24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,Villa del Parque,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/9bc901800da220cfb544f9579ade00ca87b04eb8.png?itok=P-ghmKKc
2016-0010,1,15,GRAL PAZ,"PAZ, GRAL. AV.",-58.50877521,-34.66977709,AUTO,2016,1,29,CONDUCTOR,MOTO,MASCULINO,18,Mataderos,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
2016-0012,1,1,AVENIDA,BELGRANO AV.,-58.38048577,-34.61303893,CARGAS,2016,2,8,CONDUCTOR,MOTO,MASCULINO,22,Monserrat,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2016-0013,1,11,AVENIDA,ENTRE RIOS AV.,-58.39114932,-34.62477387,AUTO,2016,2,10,PEATON,PEATON,MASCULINO,16,Constitución,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2016-0015,1,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",-58.43760020,-34.59912758,AUTO,2016,2,14,PEATON,PEATON,FEMENINO,16,Villa Crespo,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/201b469a4cba2969d4f9b420c0d213b7076fe04a.png?itok=Kitp3wH3
2016-0016,1,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,-58.36882665,-34.64291993,AUTO,2016,2,14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19,Barracas,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/933c5a6cacdc4d8ea65936883b34aea87cc4f116.png?itok=ikhU7v1I
